,,,,,,,,,
,,,,,,,,,
,ID,Pathway_id,Línea,Dirección,Estación,"Tipo 
(EE, EL, MW)","stair count 
(positivo sube, 
negativo baja)",ids,"S/B/A 
(principalmente)"
,CAM-1-5237,7ROSCAMFandTmez-03,7-Naranja,ROSARIO,CAMARONES,EE,26,,S
,CAM-2-5238,7ROSCAMFmezTand-12,7-Naranja,ROSARIO,CAMARONES,EE,26,,B
,5117,7ROSCAMFmezTmez-04,7-Naranja,ROSARIO,CAMARONES,EE,35,,S
,CAM-1-5124,7ROSCAMFmezTmez-05,7-Naranja,ROSARIO,CAMARONES,EE,35,,S
,CAM-2-5123,7ROSCAMFmezTtor-06,7-Naranja,ROSARIO,CAMARONES,EE,35,,S
,CAM-1-5122,7ROSCAMFtorTmez-09,7-Naranja,ROSARIO,CAMARONES,EE,35,,B
,CAM-2-5115,7ROSCAMFmezTmez-10,7-Naranja,ROSARIO,CAMARONES,EE,35,,B
,CAM-1-5116,7ROSCAMFmezTmez-11,7-Naranja,ROSARIO,CAMARONES,EE,35,,B
,679,7BARAUDFandTmez-03,7-Naranja,BARRANCA,AUDITORIO,EE,55,,S
,AUD-2-680-3,7BARAUDFandTmez-03,7-Naranja,BARRANCA,AUDITORIO,EE,55,,B
,7AU12S,7BARAUDFmezTtor-04,7-Naranja,BARRANCA,AUDITORIO,EE,55,,S
,7AU14B,7BARAUDFmezTtor-04,7-Naranja,BARRANCA,AUDITORIO,EE,55,,B
,7AU12S,7ROSAUDFandTmez-07,7-Naranja,ROSARIO,AUDITORIO,EE,55,,S
,7AU23B,7ROSAUDFandTmez-07,7-Naranja,ROSARIO,AUDITORIO,EE,55,,B
,AUD-2-681-5,7ROSAUDFmezTtor-08,7-Naranja,ROSARIO,AUDITORIO,EE,55,,S
,AUD-1-682-6,7ROSAUDFmezTtor-08,7-Naranja,ROSARIO,AUDITORIO,EE,55,,B